t=2025-07-26T14:44:19+0530 lvl=info msg="no configuration paths supplied"
t=2025-07-26T14:44:19+0530 lvl=info msg="using configuration at default config path" path="/Users/coder/Library/Application Support/ngrok/ngrok.yml"
t=2025-07-26T14:44:19+0530 lvl=info msg="open config file" path="/Users/coder/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2025-07-26T14:44:19+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2025-07-26T14:44:20+0530 lvl=info msg="client session established" obj=tunnels.session
t=2025-07-26T14:44:20+0530 lvl=info msg="tunnel session started" obj=tunnels.session
t=2025-07-26T14:49:32+0530 lvl=info msg="join connections" obj=join id=3e03cebcff86 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:12688
t=2025-07-26T14:49:38+0530 lvl=info msg="join connections" obj=join id=79d11ec8869e l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:33232
t=2025-07-26T14:49:44+0530 lvl=info msg="join connections" obj=join id=941027f718d2 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:33238
t=2025-07-26T14:49:50+0530 lvl=info msg="join connections" obj=join id=a2e4f15020b7 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:27490
t=2025-07-26T14:49:57+0530 lvl=info msg="join connections" obj=join id=c4f30075df90 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:27500
t=2025-07-26T14:50:02+0530 lvl=info msg="join connections" obj=join id=ccbaad4b365c l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:24746
t=2025-07-26T14:50:08+0530 lvl=info msg="join connections" obj=join id=43f18cdf94c9 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:25662
t=2025-07-26T14:50:14+0530 lvl=info msg="join connections" obj=join id=044b1ac20aeb l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:25668
t=2025-07-26T14:50:20+0530 lvl=info msg="join connections" obj=join id=f4057eae1b7c l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:18514
t=2025-07-26T14:50:27+0530 lvl=info msg="join connections" obj=join id=21c6dd218b91 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:31298
t=2025-07-26T14:50:32+0530 lvl=info msg="join connections" obj=join id=b15f6f1f7c29 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:38460
t=2025-07-26T14:50:38+0530 lvl=info msg="join connections" obj=join id=44cc5ebf6cb6 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:39726
t=2025-07-26T14:50:44+0530 lvl=info msg="join connections" obj=join id=2ef55789cd81 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:39732
t=2025-07-26T14:50:51+0530 lvl=info msg="join connections" obj=join id=7c206ed81618 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:48450
t=2025-07-26T14:50:56+0530 lvl=info msg="join connections" obj=join id=2bad4345dada l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:48466
t=2025-07-26T14:51:02+0530 lvl=info msg="join connections" obj=join id=963025ae10a2 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:25732
t=2025-07-26T14:51:08+0530 lvl=info msg="join connections" obj=join id=fa5cde65bfed l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:12960
t=2025-07-26T14:51:14+0530 lvl=info msg="join connections" obj=join id=21870c96e91f l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:12972
t=2025-07-26T14:51:20+0530 lvl=info msg="join connections" obj=join id=3b8c9d6b11e8 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:17842
t=2025-07-26T14:51:26+0530 lvl=info msg="join connections" obj=join id=0b61a5dcedbc l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:17850
t=2025-07-26T14:51:33+0530 lvl=info msg="join connections" obj=join id=9b2bb09af862 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:19074
t=2025-07-26T14:51:38+0530 lvl=info msg="join connections" obj=join id=f581756cee8b l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:12960
t=2025-07-26T14:51:44+0530 lvl=info msg="join connections" obj=join id=c8bc144f4946 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:12970
t=2025-07-26T14:51:50+0530 lvl=info msg="join connections" obj=join id=ec4df30c439a l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:31358
t=2025-07-26T14:51:56+0530 lvl=info msg="join connections" obj=join id=fb89a0417c09 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:31366
t=2025-07-26T14:52:02+0530 lvl=info msg="join connections" obj=join id=e1b6ba0b6ada l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:15240
t=2025-07-26T14:52:08+0530 lvl=info msg="join connections" obj=join id=a1ef4a37d270 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:54264
t=2025-07-26T14:52:14+0530 lvl=info msg="join connections" obj=join id=535954a52c93 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:54284
t=2025-07-26T14:52:20+0530 lvl=info msg="join connections" obj=join id=2201be5aedb1 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:23196
t=2025-07-26T14:52:27+0530 lvl=info msg="join connections" obj=join id=0f5eadd70ea4 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:23208
t=2025-07-26T14:52:32+0530 lvl=info msg="join connections" obj=join id=e816301b8cf2 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:28052
t=2025-07-26T14:52:38+0530 lvl=info msg="join connections" obj=join id=57c34fa7f596 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:12518
t=2025-07-26T14:52:44+0530 lvl=info msg="join connections" obj=join id=28146bae6a6e l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:12532
t=2025-07-26T14:52:50+0530 lvl=info msg="join connections" obj=join id=9121e7880a29 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:46008
t=2025-07-26T14:52:56+0530 lvl=info msg="join connections" obj=join id=1afad4c6fab6 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:46012
t=2025-07-26T14:53:03+0530 lvl=info msg="join connections" obj=join id=c99282f63531 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:63260
t=2025-07-26T14:53:08+0530 lvl=info msg="join connections" obj=join id=939d22e8fb5b l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:48106
t=2025-07-26T14:53:15+0530 lvl=info msg="join connections" obj=join id=7b5f317922b0 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:48116
t=2025-07-26T14:53:20+0530 lvl=info msg="join connections" obj=join id=6efff2b26481 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:47318
t=2025-07-26T14:53:26+0530 lvl=info msg="join connections" obj=join id=e66b6a2a5dc7 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:47330
t=2025-07-26T14:53:32+0530 lvl=info msg="join connections" obj=join id=2505346ae29a l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:37672
t=2025-07-26T14:53:38+0530 lvl=info msg="join connections" obj=join id=db01c8cbdd11 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:22798
t=2025-07-26T14:53:44+0530 lvl=info msg="join connections" obj=join id=b923e00d2092 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:22808
t=2025-07-26T14:53:50+0530 lvl=info msg="join connections" obj=join id=31f0231d4350 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:9384
t=2025-07-26T14:53:56+0530 lvl=info msg="join connections" obj=join id=b4d0ed913a68 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:9398
t=2025-07-26T14:54:02+0530 lvl=info msg="join connections" obj=join id=2ac8a298cc5d l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:57978
t=2025-07-26T14:54:08+0530 lvl=info msg="join connections" obj=join id=474a84ccfb32 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:49944
t=2025-07-26T14:54:14+0530 lvl=info msg="join connections" obj=join id=29b93a327078 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:49946
t=2025-07-26T14:54:20+0530 lvl=info msg="join connections" obj=join id=3db7bd17d7b4 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:56174
t=2025-07-26T14:54:26+0530 lvl=info msg="join connections" obj=join id=d0a5257ac5ba l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:56184
t=2025-07-26T14:54:32+0530 lvl=info msg="join connections" obj=join id=9f2388019cfe l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:52288
t=2025-07-26T14:54:38+0530 lvl=info msg="join connections" obj=join id=43236359d92a l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:24222
t=2025-07-26T14:54:45+0530 lvl=info msg="join connections" obj=join id=89c776c10ab5 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:24232
t=2025-07-26T14:54:50+0530 lvl=info msg="join connections" obj=join id=5eb1b5f173af l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:54134
t=2025-07-26T14:54:56+0530 lvl=info msg="join connections" obj=join id=1ee23980b8de l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:54150
